Model,Para,Test_Score
0,Gaussian,GaussianNB(priors=None),40.74137441834071
1,Logistic_Regression,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",82.04582340256496
2,RSNeural_Net,"{'max_iter': 1000, 'hidden_layer_sizes': 215}",83.10055865921788
3,Bagger_ensemble,{'n_estimators': 245},83.37988826815642
4,Random_Forest,"{'n_estimators': 425, 'max_depth': 7, 'max_features': 0.5, 'max_leaf_nodes': 8}",82.68156424581005
5,AdaBoost_Ensemble,"{'n_estimators': 125, 'learning_rate': 1.6000000000000001}",82.12290502793296
6,Gradient_Boosting,"{'n_estimators': 275, 'max_depth': 2.0, 'loss': 'deviance', 'learning_rate': 0.11}",83.65921787709497
7,XGBsklearn,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=None, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=2017,
       silent=True, subsample=1)",81.11888111888112
8,XGBstandard,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=None, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=2017,
       silent=True, subsample=1)",82.68156424581005
9,KNN,"{'weights': 'uniform', 'n_neighbors': 9}",83.37988826815642
10,StochasticGradientDescent,{'loss': 'log'},76.25698324022346
11,LinearSV,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",82.68156424581005
12,SVCrbf,"{'C': 25, 'gamma': 0.016681005372000592, 'probability': True, 'kernel': 'rbf'}",82.68156424581005
13,SVCLinear,"{'C': 1, 'kernel': 'linear', 'probability': True}",82.54189944134079
14,PCA_SVC,"{'svc__C': 100000.0, 'pca__n_components': 15, 'svc__gamma': 4.6415888336127818e-05}",81.70391061452514
